ranking,title,audience_count,audience_score,critic_count,critic_score,movie_rating,url,year_of_release,box_office_mil_usd
76,How To Train Your Dragon ,312961,91,212,99,PG,https://www.rottentomatoes.com/m/how_to_train_your_dragon/,2010,217.4
77,Room ,49812,93,316,93,R,https://www.rottentomatoes.com/m/room_2015/,2015,14.7
78,Her ,101793,82,283,94,R,https://www.rottentomatoes.com/m/her/,2013,25.6
79,Marvel'S The Avengers ,1136701,91,363,91,PG-13,https://www.rottentomatoes.com/m/marvels_the_avengers/,2012,25.6
80,Shaun The Sheep Movie ,22744,81,170,99,PG,https://www.rottentomatoes.com/m/shaun_the_sheep_movie/,2015,19.4
81,It Follows ,45412,66,263,95,R,https://www.rottentomatoes.com/m/it_follows/,2014,14.7
82,Spy ,82995,78,259,95,R,https://www.rottentomatoes.com/m/spy_2015/,2015,14.7
83,Son Of Saul ,13003,79,233,96,R,https://www.rottentomatoes.com/m/son_of_saul/,2015,1.8
84,45 Years ,13778,67,209,97,R,https://www.rottentomatoes.com/m/45_years/,2015,4.3
85,Hunt For The Wilderpeople ,24992,91,205,97,PG-13,https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople/,2016,5.2
86,The Grand Budapest Hotel ,97869,86,310,92,R,https://www.rottentomatoes.com/m/the_grand_budapest_hotel/,2014,59.1
87,The Rider ,2064,82,185,97,R,https://www.rottentomatoes.com/m/the_rider/,2017,2.4
88,A Separation ,22911,92,179,99,PG-13,https://www.rottentomatoes.com/m/a_separation_2011/,2011,24.4
89,The Old Man & The Gun ,3030,62,269,93,PG-13,https://www.rottentomatoes.com/m/the_old_man_and_the_gun/,2018,11.1
90,Doctor Strange ,111007,85,382,89,PG-13,https://www.rottentomatoes.com/m/doctor_strange_2016/,2016,232.6
91,Edge Of Tomorrow ,148035,90,325,91,PG-13,https://www.rottentomatoes.com/m/live_die_repeat_edge_of_tomorrow/,2014,100.2
92,Love & Friendship ,20189,60,213,96,PG,https://www.rottentomatoes.com/m/love_and_friendship/,2016,14.0
93,Captain Phillips ,152631,89,279,93,PG-13,https://www.rottentomatoes.com/m/captain_phillips/,2013,107.1
94,Logan Lucky ,27856,76,283,92,PG-13,https://www.rottentomatoes.com/m/logan_lucky/,2017,27.8
95,Only Yesterday ,210,84,57,100,no_rating,https://www.rottentomatoes.com/m/only_yesterday_1991/,1991,27.8
96,Mcqueen ,853,79,124,99,R,https://www.rottentomatoes.com/m/mcqueen/,2018,1.3
97,American Hustle ,176079,74,294,92,R,https://www.rottentomatoes.com/m/american_hustle/,2013,150.1
98,The Nice Guys ,56438,79,320,91,R,https://www.rottentomatoes.com/m/the_nice_guys/,2016,36.2
99,True Grit ,158405,85,275,95,PG-13,https://www.rottentomatoes.com/m/true_grit_2010/,2010,171.0
100,Weiner ,7905,83,176,97,R,https://www.rottentomatoes.com/m/weiner/,2016,1.7
